Movie_Name,Release_Date(N/LW/Festive),Genre-Defind,Movie_Content,Dir_CAT,LEAD_ACTOR_CAT,Item_Song(Y/N),Production_House_CAT,Music_Dir_CAT,Box_Office_Collection,Profit,Earning_Ratio,Budget,Youtube_Views,Youtube_Likes,Youtube_Dislikes,Success/Faliure
Hate Story 2,N,Thriller / Suspense / Horror,Prequel / Sequel,LK,LK,1,A,B,27,15,2.3,12,13798789,15708,5226,1
Alone,N,Thriller / Suspense / Horror,Masala,LK,B,1,LK,B,25,7,1.39,18,8788913,18907,2940,0
Zid,N,Thriller / Suspense / Horror,Masala,LK,LK,0,LK,LK,14,-6,0.7,20,6698987,6750,2234,0
NH10,N,Thriller / Suspense / Horror,Masala,LK,A,0,LK,B,32,19,2.47,13,5592977,15464,1513,1
Happy Ending,N,Romance,Masala,LK,A,0,A,B,22,-27,0.45,48,5192338,6928,1120,0
Phata Poster Nikla Hero,N, Drama ,Masala,A,B,1,A,A,34,-6,0.85,40,5176897,10672,1392,0
Heartless,N,Thriller / Suspense / Horror,Masala,LK,LK,0,LK,LK,2,-11,0.13,12,4823892,5797,227,0
Gulaab Gang,N,Action / Sci Fi, Social subject ,LK,LK,0,LK,LK,14,-13,0.53,27,4687259,13219,1605,0
Hunterrr,N,Comedy,Masala,LK,LK,0,LK,LK,12,7,2.64,5,4674795,3706,762,1
Go Goa Gone,N,Comedy,Masala,LK,A,1,A,A,28,12,1.76,16,4321162,10126,964,1
Raja Natwarlal,N,Thriller / Suspense / Horror,Masala,LK,LK,0,A,B,30,-5,0.85,35,4050407,8197,1155,0
Lekar Hum Deewana Dil,N,Romance,Masala,LK,LK,0,A,A,3,-14,0.16,16,3998331,2307,497,0
Daawat-E-Ishq,N,Comedy,Masala,B,B,0,A,A,25,-5,0.82,30,3905050,8315,1373,0
Gori Tere Pyaar Mein,N,Romance,Masala,LK,B,1,A,A,13,-17,0.42,30,3799253,8559,1871,0
Ramaiya Vastavaiya,N,Romance,Masala,B,B,1,A,LK,30,-5,0.86,35,3788488,4111,687,0
The Xpose,HS,Thriller / Suspense / Horror,Masala,LK,LK,1,LK,A,29,13,1.81,16,3707889,3512,1292,1
Mastram,HS,Comedy,Satire ,LK,LK,0,LK,LK,3,1,1.5,2,3557585,3927,1364,0
The Shaukeens,N,Comedy,Masala,LK,LK,1,LK,B,33,-3,0.93,35,3395361,8395,1204,0
Dum Laga Ke Haisha,N,Comedy,Masala,LK,B,0,A,A,30,15,2,15,3250917,8185,615,1
Commando-A One Man Army,LW,Action / Sci Fi,Masala,LK,LK,1,A,B,21,-1,0.95,22,3162465,7519,562,0
Bobby Jasoos,N,Comedy,Masala,LK,A,0,LK,B,11,-7,0.6,18,3113427,4512,1224,0
Khamoshiyan,N,Thriller / Suspense / Horror,Masala,LK,LK,0,A,B,14,3,1.27,11,3094001,4599,997,0
Highway,N, Drama ,Masala,A,B,0,A,A,27,-3,0.91,30,3043012,9100,971,0
Creature,N,Thriller / Suspense / Horror,Masala,B,B,0,A,B,20,-4,0.83,24,2876498,5844,1537,0
Bewakoofiyan,FS,Romance,Masala,LK,LK,0,A,LK,14,-8,0.64,22,2850376,4764,1068,0
Ungli,N, Drama ,Masala,LK,B,0,LK,LK,14,9,3.07,5,2763615,6907,489,1
Lootera,N,Romance,Masala,LK,A,0,A,B,28,1,1.04,27,2581449,4416,819,0
Zanjeer,LW,Action / Sci Fi,Masala,B,B,1,A,B,18,-57,0.24,75,2539431,5634,922,0
Dishkiyaoon,N,Action / Sci Fi,Masala,LK,A,0,B,B,6,-22,0.21,28,2397647,3308,465,0
Hawaizaada,N, Drama ,Masala,LK,B,0,A,LK,30,5,1.21,25,2368404,8619,539,0
Kaanchi,N, Drama ,Masala,A,LK,0,A,B,4,-27,0.13,31,2360968,2807,595,0
Fugly,HS,Comedy,Masala,LK,LK,1,LK,B,13,3,1.26,10,2343109,2963,556,0
Dedh Ishqiya,LW,Comedy,Masala,LK,B,1,A,A,27,-4,0.87,31,2333067,2436,591,0
Dilliwali Zaalim Girlfriend,N,Comedy,Masala,LK,LK,0,LK,B,12,-20,0.38,32,2316047,4289,807,0
Murder 3,FS,Thriller / Suspense / Horror,Prequel / Sequel,LK,B,1,A,B,25,13,2.08,12,2249055,1879,747,1
B.A. Pass,N, Drama ,Masala,LK,LK,0,LK,LK,6,4,2.95,2,2240961,842,348,1
D Day,N,Action / Sci Fi,Masala,LK,B,0,LK,A,24,-6,0.8,30,1939868,1804,224,0
Aurangzeb,N, Drama ,Masala,LK,A,1,A,B,23,3,1.15,20,1901503,3394,754,0
Policegiri,N,Action / Sci Fi,Masala,LK,B,1,B,A,17,-13,0.56,30,1754266,1674,420,0
Revolver Rani,N, Drama ,Masala,LK,A,0,B,B,10,-14,0.42,24,1744602,3013,392,0
Jolly LLB,N,Comedy,Social Subject,LK,B,1,A,LK,33,23,3.27,10,1741424,3024,181,1
Total Siyappa,N, Drama ,Masala,LK,B,0,LK,B,12,2,1.2,10,1719399,3656,548,0
Rajjo,FS,Romance,Masala,LK,A,1,B,A,2,-10,0.17,12,1718619,1606,1083,0
Darr@ The Mall,N,Thriller / Suspense / Horror,Masala,LK,LK,0,B,A,5,-11,0.3,15,1679872,255,51,0
Zilla Ghaziabad,N,Action / Sci Fi,Masala,LK,B,1,LK,B,16,-20,0.44,36,1551786,1753,619,0
Purani Jeans,HS,Romance,Masala,LK,LK,0,A,B,1,-9,0.11,10,1537063,822,229,0
Bombay Talkies,N, Drama ,Masala,A,B,1,B,B,14,8,2.38,6,1528538,2766,328,1
O Teri,N,Comedy,Masala,LK,LK,1,B,LK,4,-17,0.18,21,1511318,3004,278,0
Yeh Hai Bakrapur,HS,Comedy,Masala,LK,LK,0,LK,LK,2,-3,0.4,5,1257416,758,923,0
Nautanki Saala,LW,Comedy,Masala,A,B,1,A,LK,22,13,2.39,9,1208841,1442,342,1
3G,N,Thriller / Suspense / Horror,Masala,LK,B,1,LK,B,6,1,1.16,5,1200152,1385,345,0
"Saheb, Biwi Aur Gangster Returns",FS, Drama ,Prequel / Sequel,B,B,1,A,B,22,7,1.47,15,1176596,1037,189,0
Shortcut Romeo,N,Thriller / Suspense / Horror,Masala,LK,B,0,B,A,3,-12,0.17,15,1131573,913,255,0
Table No. 21,N,Thriller / Suspense / Horror,Social Subject,LK,B,0,B,B,12,2,1.2,10,1087320,1129,137,0
Inkaar,N,Romance,Masala,LK,B,0,A,A,10,5,2.05,5,1077723,897,114,1
The Attacks of 26/11,N,Thriller / Suspense / Horror,Social Subject,B,B,0,LK,LK,32,2,1.07,30,1041892,1911,344,0
One by Two,N,Romance,Masala,LK,B,0,LK,A,3,-10,0.21,12,1016858,1081,212,0
Sholay 3D,N,Action / Sci Fi,Remake,A,A,0,A,A,11,-14,0.44,25,1001670,2110,268,0
